run,scenario,regime,Mean_Savings,Median_Savings,Savings_Rate,Gini_Wealth
0,auto_enrolment,US,47095470.77507553,1889160.8696754845,28.954839228796114,0.9154705944792456
1,auto_enrolment,US,35583348.58323845,1496184.162474392,34.92324345505476,0.9150593603966286
2,auto_enrolment,US,48366450.35179276,1759717.460250585,25.47620227362947,0.9307003224823336
3,auto_enrolment,US,48272857.89447479,1897054.9286977157,29.54931224458856,0.9155396681430243
4,auto_enrolment,US,60869508.16435725,1560661.3575503298,28.842261536472506,0.9459415606965242
5,auto_enrolment,US,36797331.98256739,1663344.237875984,28.192914270757775,0.9113794504301018
6,auto_enrolment,US,46184579.33582325,1630873.768036425,36.61680464418396,0.9200420874599775
7,auto_enrolment,US,54483717.96273045,1487018.2553549544,32.69898883140941,0.9290005407126976
8,auto_enrolment,US,49101736.645213865,1632931.3664893452,36.751871576762056,0.926511924555375
9,auto_enrolment,US,51680075.92130374,1717977.9492026605,32.995256086434345,0.9285135708785139
10,auto_enrolment,US,41279500.146939516,1610367.365365691,29.655440426981876,0.928141020369059
11,auto_enrolment,US,40461900.38717717,1579779.8716456373,31.835513849406407,0.9130261144737102
12,auto_enrolment,US,49521419.08934077,1706034.8654256822,32.38730485158972,0.9196807800251161
13,auto_enrolment,US,36522828.64126578,1646136.3072188054,34.38159824092777,0.9070460404151142
14,auto_enrolment,US,52281519.56479282,1467660.1198757112,34.869410250565394,0.9346740589786531
15,auto_enrolment,US,50577318.2762048,1717060.0018061507,26.657241857325896,0.9327511551808196
16,auto_enrolment,US,44462530.075047195,1476541.5164853465,26.19100709495897,0.9251725095159837
17,auto_enrolment,US,71345345.12453483,1878674.263642183,27.013709432856274,0.9381930409613775
18,auto_enrolment,US,51071812.653303705,1746881.366459339,26.634334651529468,0.9225032223358058
19,auto_enrolment,US,32022436.755881544,1873762.2194632879,31.234957396906836,0.8924874601349511
20,auto_enrolment,US,67886894.77063672,1578591.9348559799,23.83762383674472,0.9456179133641642
21,auto_enrolment,US,53310969.824292965,1719126.0891724348,36.08264326617755,0.9200518414990904
22,auto_enrolment,US,58851304.48722279,1625680.324071142,34.47682319563642,0.9331739346738546
23,auto_enrolment,US,40647096.601277925,1763740.657649884,30.69860957770991,0.9151126555062015
24,auto_enrolment,US,60532584.89722463,1683406.724511092,26.814607812078947,0.9281375968689054
