run,scenario,regime,Mean_Savings,Median_Savings,Savings_Rate,Gini_Wealth
0,interest_rate_shock,US,100567747.57103589,2561929.6636310285,66.34529875917832,0.9364472840214566
1,interest_rate_shock,US,78024204.87299518,2516801.2003142675,51.14569121418258,0.9327229383710478
2,interest_rate_shock,US,74494900.99297252,2318206.0598400966,46.57990292517626,0.916826925814684
3,interest_rate_shock,US,94705681.72310168,2993552.8604530916,52.71286508324341,0.9272356450627264
4,interest_rate_shock,US,86663069.0115301,2564764.259149937,58.605330010336225,0.9314399943735907
5,interest_rate_shock,US,100725972.66898745,2694172.258328961,47.9016044020677,0.9203529582722272
6,interest_rate_shock,US,65608979.477316834,2833803.7655162374,57.59505296911738,0.9214656601506099
7,interest_rate_shock,US,71975716.39659588,2533013.753823862,53.380082178608724,0.9185183249032871
8,interest_rate_shock,US,65915211.82985586,2505131.7999464795,60.70226427525057,0.9223142083006153
9,interest_rate_shock,US,71763830.66075756,2733871.043875564,52.73748563074732,0.917736090660559
10,interest_rate_shock,US,94105732.20376563,2463399.772060574,43.50883389844458,0.9403837807098125
11,interest_rate_shock,US,83541210.42657717,2390148.657027604,50.12936797277183,0.9324972118118444
12,interest_rate_shock,US,97467116.10058239,2803124.020551675,50.017903962453744,0.9364219632426731
13,interest_rate_shock,US,109343627.45187259,2431691.988753141,54.44976020193937,0.9389130768244534
14,interest_rate_shock,US,84668892.6132947,2615662.7758980556,46.84011470930582,0.9276753846847281
15,interest_rate_shock,US,70039145.42149916,2430400.9560339036,53.70029458503643,0.9267495244992436
16,interest_rate_shock,US,78491728.43111224,2778498.6874747095,51.78756775783046,0.920366864677651
17,interest_rate_shock,US,82226287.46389887,2848364.8017883105,51.40718800588228,0.9287883964410797
18,interest_rate_shock,US,63277703.24672039,2405319.4371840744,70.45614351109931,0.9160224525430765
19,interest_rate_shock,US,71248559.06622377,2464975.661455213,55.16695770630149,0.9248306659310102
20,interest_rate_shock,US,73407458.3097685,2769416.994110738,47.37792761049622,0.916126070497489
21,interest_rate_shock,US,95986373.0930986,2436181.2520444477,58.87838106208193,0.9298282131591737
22,interest_rate_shock,US,64575715.40005355,2309872.2757436205,56.619118684295486,0.9246590692316619
23,interest_rate_shock,US,84284009.54880646,2668623.5891927276,46.03848269161612,0.930353808611021
24,interest_rate_shock,US,87888906.57112765,2505251.946044893,63.46010714445685,0.9312198629315551
25,interest_rate_shock,US,84332597.07350253,2684410.4222071436,49.18893370890923,0.924739390669864
26,interest_rate_shock,US,84440225.54408962,2632905.2322383644,47.34497610644535,0.9361999833770542
27,interest_rate_shock,US,83989629.96229053,2816628.465785874,43.1046638070651,0.9298386448140052
28,interest_rate_shock,US,74799381.56113207,2412699.5330910934,57.25369001801851,0.9300210187660019
29,interest_rate_shock,US,69541780.71564183,2734787.603472514,59.55577927906109,0.9196530973716845
30,interest_rate_shock,US,86262902.69729175,2434878.6029483154,52.55133738732797,0.9290687687385131
31,interest_rate_shock,US,105718690.57826257,2523042.107372852,61.68006189789442,0.9326536554112137
32,interest_rate_shock,US,85038714.549996,2470453.8630543863,54.09618885978102,0.9253053616792515
33,interest_rate_shock,US,84294926.9886213,2730809.830397079,64.88729091451125,0.9267803533570991
34,interest_rate_shock,US,58149568.02798497,2491693.1763933506,51.8121879829848,0.9157319639672543
35,interest_rate_shock,US,60615688.128846556,2491692.3930669595,67.88910402086314,0.9195751376685353
36,interest_rate_shock,US,132975637.02138507,2589530.572101368,48.22980321643067,0.9403404659530497
37,interest_rate_shock,US,110815896.38389425,2670674.067558497,50.56304391536955,0.944026908316542
38,interest_rate_shock,US,72425498.72268137,2900858.896319403,62.19798836721802,0.9231385690267575
39,interest_rate_shock,US,94678855.4903889,2386607.7254077545,51.31438679862265,0.9387395566663894
40,interest_rate_shock,US,84845124.06534572,2433791.7799080424,67.59171343773711,0.9246677019945373
41,interest_rate_shock,US,97525812.36507756,2530618.6235758113,43.474850354322605,0.940158670290028
42,interest_rate_shock,US,66146890.47351658,2673110.5523574324,42.6162260501288,0.9099750978412333
43,interest_rate_shock,US,62398083.253053345,2485911.816078322,47.536497968389206,0.9166788580760938
44,interest_rate_shock,US,110728452.19351047,3094815.4512766916,51.09797046583038,0.9346922223023124
45,interest_rate_shock,US,76217603.82759416,2496240.7206107304,51.12657081885168,0.9285197465952475
46,interest_rate_shock,US,87955034.01566324,2693984.8108347254,47.340849621504425,0.9362494653969793
47,interest_rate_shock,US,89437629.43347654,2498124.3580282964,45.751957363439544,0.934282122792744
48,interest_rate_shock,US,106652287.87793429,2894597.131192766,59.08880434495078,0.9338840342305081
49,interest_rate_shock,US,110791953.38069586,2848755.6014704015,47.51040748363642,0.9356485642943566
50,interest_rate_shock,US,96701965.52926755,2304438.789523672,57.67234602251371,0.933919616817888
51,interest_rate_shock,US,76795820.42594048,2875000.7058658963,56.90736847634377,0.9202809068424667
52,interest_rate_shock,US,77903409.72640671,2418142.803298168,45.59583980539429,0.9283772892388358
53,interest_rate_shock,US,72464993.09265171,2680673.493908165,60.14832302162104,0.9249077405672823
54,interest_rate_shock,US,98605341.31736554,2484078.943280639,54.03744613879314,0.9323261257097173
55,interest_rate_shock,US,77100553.42090204,2377253.7263236158,45.71882617271161,0.9272066530504093
56,interest_rate_shock,US,79849090.43152499,2480839.1023056805,56.23995402059004,0.9271619801782471
57,interest_rate_shock,US,113021092.88602947,2489553.0226012403,55.26700814634086,0.9440619352100792
58,interest_rate_shock,US,84552266.12703244,2420703.813853049,45.80915243328133,0.9277177672933132
59,interest_rate_shock,US,86451667.97705294,2585140.085933366,53.78475890028242,0.9329327286801972
60,interest_rate_shock,US,95351075.65636843,2611454.8131670346,60.5377596325353,0.9341834008637464
61,interest_rate_shock,US,97890393.0891956,2274514.1416007113,61.71636099229084,0.9407087163813252
62,interest_rate_shock,US,63717772.65486528,2522549.0840044618,54.02366239797714,0.9227583041740954
63,interest_rate_shock,US,73269389.79263651,2704298.5830265507,65.50175923068797,0.9284937274705383
64,interest_rate_shock,US,94078413.48065907,2683353.3903502766,46.123173109968725,0.9342577119895139
65,interest_rate_shock,US,65461848.82428807,2511502.1736799655,45.127845859055476,0.9208087314556326
66,interest_rate_shock,US,69530157.40074192,2465593.7950476287,55.10236024776734,0.921435131886666
67,interest_rate_shock,US,95397963.61827679,2400513.525942458,61.16748975675795,0.929262570126699
68,interest_rate_shock,US,78720235.44885415,2496883.9192820145,52.9093205008398,0.9310244464529251
69,interest_rate_shock,US,76241004.21481644,2742780.35517509,49.057233928875426,0.9228951325494925
70,interest_rate_shock,US,53987574.59946822,2250095.881618727,55.92330258314702,0.9181625532838857
71,interest_rate_shock,US,95853292.1175752,2583317.0429954994,52.043694161562485,0.931980155159646
72,interest_rate_shock,US,92525499.76129529,2603123.4412896624,41.21445322574722,0.9381850157320111
73,interest_rate_shock,US,102882918.9072248,3155834.637972715,48.76977166106815,0.9353011827442721
74,interest_rate_shock,US,105278398.44603066,2761996.1122659473,44.48377248973847,0.939582497332957
75,interest_rate_shock,US,94459354.26511441,2656224.927122793,40.872163386519794,0.931944743106683
76,interest_rate_shock,US,72022312.4128747,2233931.9887690893,69.81667528696241,0.9314845348823311
77,interest_rate_shock,US,84049583.31295744,2630589.2504242817,47.33861804532538,0.9329543316632516
78,interest_rate_shock,US,110264638.06383832,2537894.1111343335,53.082801586289285,0.9396566630939878
79,interest_rate_shock,US,83626918.2835554,2609024.826412215,47.69758775677567,0.9360475072572898
80,interest_rate_shock,US,67720712.7660268,3072100.3177942736,60.96651529678957,0.9104806447244949
81,interest_rate_shock,US,105152957.82598694,2516901.560431826,49.51905251045828,0.9336766281162734
82,interest_rate_shock,US,66710839.03969929,2568922.011985493,49.73073892982819,0.9189000675391492
83,interest_rate_shock,US,77690017.92473288,2422991.4421887123,59.688597485087286,0.9317665954265102
84,interest_rate_shock,US,90527706.47991954,2231515.3178851865,46.834486535541124,0.9424825363238789
85,interest_rate_shock,US,49850359.005323805,2375412.1204317575,39.413791445297015,0.9076098857897406
86,interest_rate_shock,US,100844377.64237505,2663147.4044261863,60.42525738605546,0.9308758737908935
87,interest_rate_shock,US,79664490.39132026,2503932.8373924643,62.058665406885446,0.9235546575830968
88,interest_rate_shock,US,62126050.55301292,2596033.728883496,60.07462798020259,0.9103318132865139
89,interest_rate_shock,US,101724978.89722644,2411058.974448545,46.46171253175841,0.9362964550237649
90,interest_rate_shock,US,71620044.81425147,2285735.750581515,52.26966609621508,0.9225760605824445
91,interest_rate_shock,US,73196431.91862579,2584054.1740792124,52.505468231308825,0.9165313588426636
92,interest_rate_shock,US,86391388.44277924,2758627.1233886867,54.070436393138436,0.9212919801056838
93,interest_rate_shock,US,100913855.9908462,2573380.779474781,51.672551073424096,0.9375292315844586
94,interest_rate_shock,US,78750215.54970062,2396042.3321954887,59.03757867644164,0.9241702539893013
95,interest_rate_shock,US,105698865.27138343,2792169.1461628284,44.35086674438357,0.9329725538707894
96,interest_rate_shock,US,77389228.67571466,2613344.400924851,56.07072739027243,0.9159410518205309
97,interest_rate_shock,US,67131668.54624917,2195262.257655167,44.859679738644594,0.93030791663789
98,interest_rate_shock,US,80078078.02947253,2819408.855111419,52.20363809565569,0.9266357231674107
99,interest_rate_shock,US,69297015.01412652,2411619.0842679273,52.291180294833985,0.9070050884102709
0,interest_rate_shock,UK,3057433.3043554365,2264989.8586515365,79.06927432491435,0.47474409848201216
1,interest_rate_shock,UK,3010846.6133271297,2081327.7127630739,78.1612356419667,0.48569781791029265
2,interest_rate_shock,UK,2906465.8797212588,2037531.173084771,82.17844277137345,0.4825056167420001
3,interest_rate_shock,UK,2933686.795741473,2009430.0172947883,78.550455908809,0.4895501783248315
4,interest_rate_shock,UK,2990523.608393695,2218768.295173573,74.40705986907484,0.47451012519530034
5,interest_rate_shock,UK,3091976.482170866,2153602.8273267667,79.98891948869995,0.4779009251111177
6,interest_rate_shock,UK,3281390.153855714,2184285.9578012354,85.85570849305861,0.4962248645001963
7,interest_rate_shock,UK,3155195.5948699983,2179339.307083069,81.70061165935019,0.48281500858146775
8,interest_rate_shock,UK,2993119.286471669,2142987.865475609,77.92099772576779,0.4655167222560699
9,interest_rate_shock,UK,2854867.383959608,1995302.4481095693,77.07119379213066,0.48680883236702055
10,interest_rate_shock,UK,2901242.4104319657,2028241.6737983301,76.07212247170388,0.4755227601780252
11,interest_rate_shock,UK,2811356.0312736607,2060890.1149459318,79.17532991946207,0.4677254803582396
12,interest_rate_shock,UK,3177175.827204009,2217609.22882151,79.45982084550197,0.48075532712028535
13,interest_rate_shock,UK,2927407.742369531,2153404.047498893,78.41328148213758,0.4587632596406479
14,interest_rate_shock,UK,2928023.9641156993,2109832.3778099627,77.6961364032529,0.4582460241631996
15,interest_rate_shock,UK,2863331.248675319,2118857.5776745165,77.43968445790132,0.4492819721220558
16,interest_rate_shock,UK,2890700.1145988065,2055502.7116421936,77.52830209615811,0.4762653848471188
17,interest_rate_shock,UK,2862311.9880916746,2018671.440875893,79.21609489207844,0.48363057280557453
18,interest_rate_shock,UK,3068755.42762212,2171516.404882713,79.14776436872395,0.46062530376892874
